id,booking_date,origin,destination,dep_date,dep_time,pax,fare_choice
88,20170523,BOM,CCU,20170601,230,1,Saver
89,20170530,BOM,BLR,20170601,1330,1,Classic
90,20170530,MAA,BOM,20170601,1920,1,Classic
91,20170530,BLR,DEL,20170601,1745,1,Classic
92,20170525,CCU,BOM,20170601,1850,1,Classic
93,20170530,DEL,BOM,20170601,705,1,Flex
94,20170530,DEL,BOM,20170601,1400,1,Classic
95,20170329,BLR,DEL,20170601,750,1,Deal
96,20170330,BLR,DEL,20170601,700,1,Deal
97,20170428,DEL,BLR,20170601,1450,1,Saver
98,20170403,BOM,MAA,20170601,835,1,Deal
99,20170531,MAA,BOM,20170601,810,1,Classic
100,20170601,BOM,DEL,20170601,1700,1,Classic
101,20170524,DEL,BOM,20170601,2150,4,Saver
102,20170601,BOM,MAA,20170601,1525,3,Classic
103,20170525,BOM,BLR,20170601,630,1,Saver
104,20170520,BOM,CCU,20170601,610,1,Saver
105,20170221,BOM,CCU,20170601,705,2,Deal
106,20170430,DEL,CCU,20170601,1050,1,Saver
107,20170515,MAA,BOM,20170601,1120,1,Deal
108,20170515,DEL,BOM,20170601,2050,1,Saver
109,20170529,DEL,BOM,20170601,1745,1,Classic
110,20170529,DEL,BOM,20170601,1815,1,Classic
111,20170522,BOM,CCU,20170601,1255,1,Saver
112,20170530,BLR,BOM,20170601,2035,1,Classic
113,20170530,BOM,DEL,20170601,1915,1,Classic
114,20170510,BOM,DEL,20170601,1100,1,Deal
115,20170531,HYD,BOM,20170601,2130,1,Classic
116,20170517,DEL,BOM,20170601,1945,1,Saver
117,20170601,DEL,BLR,20170601,2045,1,Classic
118,20170525,DEL,BLR,20170601,1830,1,Classic
119,20170421,HYD,BOM,20170601,1830,1,Deal
120,20170513,BOM,MAA,20170601,1055,3,Saver
121,20170531,GOI,BOM,20170601,430,1,Classic
122,20170419,GOI,BOM,20170601,1835,2,Deal
123,20170531,BLR,BOM,20170601,1120,1,Saver
124,20170517,BLR,BOM,20170601,1615,4,Saver
125,20170531,CCU,BOM,20170601,1145,1,Flex
126,20170525,BLR,BOM,20170601,700,1,Saver
127,20170512,BOM,MAA,20170601,1915,1,Saver
128,20170513,BOM,CCU,20170601,230,1,Deal
129,20170531,GOI,BOM,20170601,705,1,Classic
130,20170524,BLR,BOM,20170601,700,1,Saver
131,20170524,DEL,MAA,20170601,650,4,Classic
132,20170531,BOM,BLR,20170601,1800,1,Saver
133,20170531,DEL,BOM,20170601,1030,1,Flex
134,20170511,DEL,BOM,20170601,2050,1,Saver
135,20170601,BOM,DEL,20170601,1100,1,Saver
136,20170525,DEL,CCU,20170601,730,1,Classic
137,20170525,HYD,BOM,20170601,2130,1,Classic
138,20170601,CCU,BOM,20170601,1610,1,Saver
139,20170421,CCU,BOM,20170601,145,3,Deal
140,20170526,DEL,BOM,20170601,1030,1,Saver
141,20170317,DEL,BLR,20170601,1150,1,Saver
142,20170327,DEL,BLR,20170601,1625,3,Saver
143,20170530,MAA,DEL,20170601,1820,1,Flex
144,20170530,BLR,BOM,20170601,2150,1,Classic
145,20170530,BOM,DEL,20170601,2055,1,Classic
146,20170510,BLR,BOM,20170601,1120,1,Deal
147,20170531,BOM,BLR,20170601,2025,1,Saver
148,20170518,BOM,BLR,20170601,1330,3,Saver
149,20170525,BOM,BLR,20170601,630,1,Classic
150,20170601,BLR,DEL,20170601,1745,1,Classic
151,20170526,BOM,DEL,20170601,700,1,Saver
152,20170527,BOM,BLR,20170601,1550,1,Saver
153,20170306,MAA,DEL,20170601,1340,1,Deal
154,20170531,BLR,DEL,20170601,700,1,Classic
155,20170529,DEL,MAA,20170601,845,1,Saver
156,20170530,BOM,CCU,20170601,1750,1,Classic
157,20170530,BOM,DEL,20170601,1915,1,Classic
158,20170523,CCU,BOM,20170601,1610,1,Classic
159,20170530,DEL,BOM,20170601,1500,1,Classic
160,20170531,BLR,DEL,20170601,1510,1,Classic
161,20170328,HYD,BOM,20170601,1505,1,Deal
162,20170531,BOM,MAA,20170601,1055,1,Flex
163,20170524,BLR,DEL,20170601,1510,1,Saver
164,20170531,BOM,MAA,20170601,1805,1,Classic
165,20170531,BLR,DEL,20170601,1510,1,Classic
166,20170601,DEL,BLR,20170601,1830,2,Flex
167,20170601,CCU,BOM,20170601,2120,1,Flex
168,20170519,BOM,CCU,20170601,1905,1,Saver
169,20170517,BOM,CCU,20170601,610,1,Deal
170,20170531,DEL,CCU,20170601,1750,1,Flex
171,20170531,MAA,BOM,20170601,810,1,Classic
172,20170510,BLR,BOM,20170601,1120,1,Deal
173,20170531,BLR,BOM,20170601,855,1,Classic
174,20170503,BOM,MAA,20170601,1915,1,Deal
175,20170531,MAA,BOM,20170601,810,1,Classic
176,20170530,HYD,BOM,20170601,1940,1,Flex
177,20170531,MAA,BOM,20170601,2045,1,Classic
178,20170518,BOM,CCU,20170601,705,1,Saver
179,20170525,DEL,BOM,20170601,1030,1,Saver
180,20170210,CCU,BOM,20170601,1610,4,Deal
181,20170510,MAA,BOM,20170601,810,1,Deal
182,20170529,DEL,BOM,20170601,1615,1,Classic
183,20170508,BOM,CCU,20170601,705,1,Deal
184,20170530,CCU,BOM,20170601,1850,1,Flex
185,20170321,DEL,CCU,20170601,1050,1,Saver
186,20170523,BOM,DEL,20170601,1800,1,Saver
187,20170530,DEL,BOM,20170601,1240,1,Classic
188,20170530,BLR,DEL,20170601,1105,1,Classic
189,20170215,MAA,BOM,20170601,1545,3,Deal
190,20170325,DEL,BLR,20170601,2140,2,Saver
191,20170328,CCU,BOM,20170601,1850,4,Saver
192,20170531,BLR,DEL,20170601,1745,1,Classic
193,20170531,BOM,BLR,20170601,840,1,Classic
194,20170531,CCU,BOM,20170601,925,1,Flex
195,20170531,BLR,DEL,20170601,750,1,Classic
196,20170511,GOI,BOM,20170601,1500,1,Saver
197,20170601,GOI,BOM,20170601,1835,2,Classic
198,20170525,BOM,DEL,20170601,700,1,Saver
199,20170601,BOM,DEL,20170601,1100,1,Saver
200,20170531,MAA,BOM,20170601,810,1,Classic
201,20170531,CCU,BOM,20170601,1850,1,Flex
202,20170503,CCU,BOM,20170601,620,1,Saver
203,20170531,MAA,BOM,20170601,1120,1,Classic
204,20170518,MAA,DEL,20170601,1820,1,Classic
205,20170601,MAA,BOM,20170601,1120,1,Deal
206,20170512,MAA,DEL,20170601,1030,2,Saver
207,20170526,BLR,BOM,20170601,855,1,Classic
208,20170526,BOM,DEL,20170601,900,1,Saver
209,20170326,MAA,DEL,20170601,1930,1,Deal
210,20170528,DEL,BOM,20170601,1400,1,Classic
211,20170529,CCU,BOM,20170601,925,2,Classic
212,20170508,GOI,BOM,20170601,1435,1,Deal
213,20170529,MAA,BOM,20170601,1805,1,Classic
214,20170529,BOM,DEL,20170601,1800,1,Classic
215,20170530,MAA,DEL,20170601,630,1,Flex
216,20170530,DEL,BOM,20170601,1400,1,Classic
217,20170518,GOI,BOM,20170601,1310,2,Deal
218,20170530,DEL,BOM,20170601,1135,2,Flex
219,20170217,MAA,BOM,20170601,1545,2,Deal
220,20170430,BLR,DEL,20170601,1105,1,Deal
221,20170522,BLR,DEL,20170601,1510,1,Saver
222,20170529,DEL,BOM,20170601,1945,1,Classic
223,20170529,HYD,BOM,20170601,1830,1,Classic
224,20170530,BLR,BOM,20170601,855,3,Classic
225,20170418,MAA,DEL,20170601,1030,1,Deal
226,20170530,HYD,BOM,20170601,2130,1,Classic
227,20170530,BOM,CCU,20170601,815,1,Classic
228,20170530,BOM,MAA,20170601,1325,1,Classic
229,20170528,CCU,BOM,20170601,925,1,Classic
230,20170424,HYD,BOM,20170601,1940,1,Saver
231,20170529,DEL,BOM,20170601,800,1,Classic
232,20170529,BOM,DEL,20170601,1630,1,Classic
233,20170508,CCU,BOM,20170601,1405,1,Saver
234,20170425,CCU,BOM,20170601,925,1,Saver
235,20170425,DEL,CCU,20170601,1050,1,Saver
236,20170601,HYD,BOM,20170601,1940,1,Classic
237,20170529,DEL,BOM,20170601,1240,1,Classic
238,20170530,BOM,CCU,20170601,1255,1,Classic
239,20170425,CCU,BOM,20170601,145,2,Deal
240,20170530,HYD,BOM,20170601,720,1,Classic
241,20170530,MAA,BOM,20170601,545,1,Classic
242,20170530,DEL,BOM,20170601,2245,1,Classic
243,20170529,DEL,BOM,20170601,800,1,Classic
244,20170529,CCU,BOM,20170601,620,1,Classic
245,20170529,MAA,BOM,20170601,700,1,Classic
246,20170530,BOM,MAA,20170601,835,1,Flex
247,20170324,BOM,MAA,20170601,1805,2,Deal
248,20170530,GOI,BOM,20170601,1500,1,Classic
249,20170425,BLR,BOM,20170601,2035,3,Classic
250,20170530,BOM,BLR,20170601,840,1,Classic
251,20170510,MAA,BOM,20170601,810,1,Deal
252,20170526,DEL,BOM,20170601,1945,1,Classic
253,20170531,CCU,BOM,20170601,1405,2,Flex
254,20170531,GOI,BOM,20170601,705,1,Classic
255,20170531,BOM,DEL,20170601,830,1,Classic
256,20170531,BLR,BOM,20170601,1120,1,Classic
257,20170601,BOM,DEL,20170601,1300,2,Classic
258,20170508,HYD,BOM,20170601,915,1,Deal
259,20170529,DEL,BOM,20170601,1945,1,Classic
260,20170529,DEL,CCU,20170601,1050,1,Flex
261,20170522,BLR,BOM,20170601,2035,1,Classic
262,20170424,DEL,MAA,20170601,1100,4,Saver
263,20170530,DEL,BOM,20170601,1815,1,Classic
264,20170523,DEL,CCU,20170601,730,1,Classic
265,20170530,MAA,BOM,20170601,545,1,Saver
266,20170528,BLR,DEL,20170601,750,1,Classic
267,20170528,DEL,BOM,20170601,1400,2,Classic
268,20170418,BLR,BOM,20170601,700,1,Deal
269,20170516,DEL,BOM,20170601,800,1,Saver
270,20170516,BLR,BOM,20170601,1615,3,Saver
271,20170530,DEL,BOM,20170601,945,1,Flex
272,20170601,MAA,BOM,20170601,1920,1,Classic
273,20170530,BOM,DEL,20170601,2055,1,Saver
274,20170531,BOM,BLR,20170601,1455,1,Deal
275,20170413,HYD,BOM,20170601,2130,1,Deal
276,20170601,BOM,CCU,20170601,1255,1,Classic
277,20170601,DEL,BLR,20170601,2045,1,Classic
278,20170512,GOI,BOM,20170601,430,1,Deal
279,20170512,MAA,BOM,20170601,1920,2,Saver
280,20170429,MAA,BOM,20170601,545,2,Saver
281,20170214,DEL,MAA,20170601,650,4,Deal
282,20170531,CCU,BOM,20170601,1145,1,Flex
283,20170524,HYD,BOM,20170601,720,1,Saver
284,20170524,BLR,BOM,20170601,2150,1,Saver
285,20170524,BOM,BLR,20170601,1330,1,Saver
286,20170531,CCU,BOM,20170601,925,1,Flex
287,20170601,DEL,BLR,20170601,1830,1,Flex
288,20170429,BOM,MAA,20170601,1805,1,Saver
289,20170513,BLR,BOM,20170601,855,1,Deal
290,20170511,MAA,BOM,20170601,1920,1,Saver
291,20170426,DEL,MAA,20170601,2055,1,Saver
292,20170531,DEL,BOM,20170601,2150,1,Flex
293,20170531,BOM,DEL,20170601,955,1,Saver
294,20170531,DEL,BOM,20170601,1135,1,Flex
295,20170601,MAA,BOM,20170601,2045,1,Classic
296,20170505,GOI,BOM,20170601,430,3,Deal
297,20170412,DEL,BLR,20170601,2045,2,Saver
298,20170531,BOM,DEL,20170601,1800,2,Classic
299,20170524,MAA,DEL,20170601,1340,1,Classic
300,20170524,BLR,DEL,20170601,1745,2,Saver
301,20170531,MAA,BOM,20170601,1920,1,Classic
302,20170525,BOM,BLR,20170601,630,1,Saver
303,20170601,MAA,BOM,20170601,2045,1,Saver
304,20170310,DEL,BOM,20170601,800,1,Saver
305,20170323,BOM,MAA,20170601,705,1,Deal
306,20170327,MAA,BOM,20170601,545,2,Deal
307,20170507,BLR,DEL,20170601,750,1,Deal
308,20170529,BOM,DEL,20170601,2055,1,Classic
309,20170509,DEL,MAA,20170601,650,2,Saver
310,20170530,BLR,BOM,20170601,700,1,Classic
311,20170530,BOM,BLR,20170601,1550,1,Classic
312,20170517,BLR,BOM,20170601,1120,1,Saver
313,20170531,CCU,BOM,20170601,1145,1,Deal
314,20170601,MAA,BOM,20170601,1545,1,Classic
315,20170504,BOM,MAA,20170601,1915,1,Deal
316,20170601,MAA,BOM,20170601,1545,1,Classic
317,20170601,CCU,BOM,20170601,1850,1,Flex
318,20170511,BOM,CCU,20170601,2035,3,Deal
319,20170412,HYD,BOM,20170601,1940,3,Deal
320,20170529,BLR,BOM,20170601,2035,1,Classic
321,20170411,MAA,DEL,20170601,1820,1,Deal
322,20170530,DEL,BOM,20170601,1240,1,Classic
323,20170503,CCU,BOM,20170601,145,3,Saver
324,20170524,BLR,BOM,20170601,1615,1,Saver
325,20170531,BOM,CCU,20170601,230,1,Classic
326,20170531,BOM,BLR,20170601,1800,2,Classic
327,20170524,BOM,DEL,20170601,1300,2,Saver
328,20170531,MAA,DEL,20170601,1820,1,Flex
329,20170531,MAA,BOM,20170601,1545,1,Saver
330,20170531,BOM,CCU,20170601,705,1,Classic
331,20170524,MAA,BOM,20170601,700,1,Saver
332,20170531,CCU,BOM,20170601,925,1,Flex
333,20170504,BOM,MAA,20170601,1915,1,Deal
334,20170512,BOM,DEL,20170601,900,2,Saver
335,20170429,BLR,DEL,20170601,1105,2,Deal
336,20170527,DEL,BOM,20170601,1745,1,Classic
337,20170427,DEL,BLR,20170601,1450,3,Deal
338,20170514,BOM,MAA,20170601,1525,1,Saver
339,20170516,BOM,DEL,20170601,1100,1,Saver
340,20170316,BLR,DEL,20170601,1510,1,Deal
341,20170528,BLR,BOM,20170601,1120,1,Classic
342,20170411,DEL,MAA,20170601,1100,1,Deal
343,20170529,DEL,BOM,20170601,945,1,Classic
344,20170529,DEL,BOM,20170601,1030,3,Classic
345,20170523,BOM,DEL,20170601,1915,1,Saver
346,20170523,DEL,MAA,20170601,845,1,Classic
347,20170530,DEL,BOM,20170601,1615,1,Classic
348,20170530,DEL,BOM,20170601,1400,1,Flex
349,20170510,DEL,BLR,20170601,2140,1,Saver
350,20170214,DEL,CCU,20170601,730,1,Deal
351,20170328,BOM,CCU,20170601,815,1,Deal
352,20170413,DEL,CCU,20170601,230,1,Deal
353,20170328,CCU,BOM,20170601,620,1,Deal
354,20170323,BOM,CCU,20170601,230,1,Deal
355,20170529,BOM,DEL,20170601,800,1,Classic
356,20170530,DEL,BOM,20170601,1615,1,Classic
357,20170530,BOM,DEL,20170601,700,1,Classic
358,20170528,BOM,DEL,20170601,1915,1,Classic
359,20170529,BOM,DEL,20170601,730,1,Classic
360,20170529,BLR,BOM,20170601,1615,1,Classic
361,20170529,DEL,BOM,20170601,1815,1,Classic
362,20170530,DEL,BOM,20170601,1500,1,Classic
363,20170518,GOI,BOM,20170601,1310,4,Deal
364,20170210,CCU,BOM,20170601,1610,2,Saver
365,20170411,DEL,MAA,20170601,1100,1,Deal
366,20170428,BOM,CCU,20170601,610,1,Deal
367,20170303,DEL,BOM,20170601,705,4,Deal
368,20170424,MAA,DEL,20170601,1930,1,Deal
369,20170515,GOI,BOM,20170601,705,1,Deal
370,20170508,BOM,DEL,20170601,955,1,Deal
371,20170530,BLR,BOM,20170601,545,1,Classic
372,20170516,BLR,BOM,20170601,855,2,Saver
373,20170530,BOM,DEL,20170601,700,1,Classic
374,20170510,MAA,BOM,20170601,810,1,Deal
375,20170531,DEL,BLR,20170601,2045,1,Classic
376,20170427,BLR,DEL,20170601,1105,1,Deal
377,20170526,MAA,BOM,20170601,2045,1,Classic
378,20170328,HYD,BOM,20170601,1505,3,Deal
379,20170514,BLR,BOM,20170601,1615,1,Saver
380,20170508,BOM,DEL,20170601,1300,2,Saver
381,20170529,MAA,BOM,20170601,700,1,Classic
382,20170508,BOM,DEL,20170601,955,1,Deal
383,20170529,MAA,DEL,20170601,1930,1,Flex
384,20170529,BOM,CCU,20170601,2035,1,Classic
385,20170523,BOM,MAA,20170601,2040,1,Saver
386,20170530,BLR,BOM,20170601,855,1,Classic
387,20170530,BLR,DEL,20170601,750,1,Classic
388,20170530,BLR,BOM,20170601,2150,1,Classic
389,20170524,HYD,BOM,20170601,1830,1,Classic
390,20170523,BOM,CCU,20170601,815,1,Saver
391,20170530,HYD,BOM,20170601,2130,1,Classic
392,20170509,GOI,BOM,20170601,1500,2,Deal
393,20170530,BLR,BOM,20170601,1815,1,Classic
394,20170530,HYD,BOM,20170601,720,2,Classic
395,20170327,DEL,BLR,20170601,710,2,Deal
396,20170324,MAA,DEL,20170601,1340,1,Deal
397,20170531,DEL,BLR,20170601,750,1,Classic
398,20170531,BLR,DEL,20170601,1945,2,Classic
399,20170531,BOM,DEL,20170601,730,1,Classic
400,20170531,BOM,DEL,20170601,1100,1,Classic
401,20170531,BOM,DEL,20170601,1700,1,Classic
402,20170601,DEL,BLR,20170601,1830,1,Flex
403,20170601,BOM,DEL,20170601,1630,1,Classic
404,20170525,BOM,DEL,20170601,900,1,Saver
405,20170525,BLR,BOM,20170601,1615,1,Saver
406,20170601,DEL,BOM,20170601,1745,1,Flex
407,20170601,CCU,BOM,20170601,2120,1,Flex
408,20170601,HYD,BOM,20170601,2130,1,Flex
409,20170512,BLR,BOM,20170601,855,1,Deal
410,20170506,DEL,BOM,20170601,1615,1,Saver
411,20170527,DEL,BLR,20170601,750,1,Classic
412,20170529,BLR,DEL,20170601,1745,1,Saver
413,20170529,CCU,BOM,20170601,1145,6,Flex
414,20170529,DEL,CCU,20170601,1750,2,Classic
415,20170530,DEL,BOM,20170601,705,1,Flex
416,20170523,HYD,BOM,20170601,1830,1,Classic
417,20170425,CCU,BOM,20170601,620,1,Saver
418,20170523,DEL,MAA,20170601,2055,1,Classic
419,20170530,BLR,BOM,20170601,700,1,Classic
420,20170508,MAA,BOM,20170601,700,5,Deal
421,20170529,BOM,CCU,20170601,610,1,Classic
422,20170523,MAA,DEL,20170601,1030,1,Classic
423,20170530,BLR,BOM,20170601,2035,1,Classic
424,20170509,BOM,CCU,20170601,1905,1,Deal
425,20170530,DEL,BOM,20170601,1135,2,Classic
426,20170530,CCU,BOM,20170601,1850,1,Flex
427,20170523,BOM,DEL,20170601,300,1,Saver
428,20170530,MAA,BOM,20170601,1920,1,Classic
429,20170510,CCU,BOM,20170601,145,1,Saver
430,20170531,DEL,BLR,20170601,2045,1,Classic
431,20170531,BOM,CCU,20170601,230,1,Classic
432,20170413,DEL,CCU,20170601,230,1,Deal
433,20170525,BLR,BOM,20170601,2035,1,Classic
434,20170601,BOM,MAA,20170601,1805,2,Deal
435,20170514,DEL,BOM,20170601,1240,1,Saver
436,20170508,MAA,BOM,20170601,545,2,Saver
437,20170504,GOI,BOM,20170601,430,2,Deal
438,20170530,HYD,BOM,20170601,915,1,Classic
439,20170530,DEL,BOM,20170601,1400,1,Classic
440,20170325,BOM,BLR,20170601,1550,1,Deal
441,20170328,BOM,DEL,20170601,300,1,Saver
442,20170329,CCU,BOM,20170601,145,1,Deal
443,20170413,GOI,BOM,20170601,1435,3,Deal
444,20170324,CCU,BOM,20170601,1145,1,Deal
445,20170531,DEL,BOM,20170601,1745,1,Flex
446,20170517,BLR,DEL,20170601,1510,1,Saver
447,20170524,BLR,DEL,20170601,1510,1,Saver
448,20170529,DEL,BLR,20170601,1830,1,Classic
449,20170525,MAA,BOM,20170601,2045,1,Classic
450,20170519,BLR,DEL,20170601,1510,1,Saver
451,20170409,HYD,BOM,20170601,915,3,Deal
452,20170423,CCU,BOM,20170601,1405,1,Saver
453,20170529,DEL,BLR,20170601,1625,1,Classic
454,20170529,HYD,BOM,20170601,1940,1,Classic
455,20170522,HYD,BOM,20170601,1940,2,Saver
456,20170530,BOM,BLR,20170601,2025,1,Classic
457,20170530,DEL,BOM,20170601,1400,2,Classic
458,20170530,MAA,BOM,20170601,545,1,Saver
459,20170404,MAA,BOM,20170601,1545,6,Deal
460,20170405,MAA,DEL,20170601,1340,1,Deal
461,20170501,CCU,BOM,20170601,1145,1,Saver
462,20170508,BLR,BOM,20170601,1120,2,Saver
463,20170529,DEL,MAA,20170601,1100,2,Deal
464,20170529,DEL,BLR,20170601,2045,1,Classic
465,20170509,DEL,BLR,20170601,2140,1,Saver
466,20170530,HYD,BOM,20170601,1505,1,Classic
467,20170210,MAA,DEL,20170601,630,2,Deal
468,20170528,DEL,CCU,20170601,1750,1,Flex
469,20170529,BOM,CCU,20170601,1750,1,Classic
470,20170529,BOM,DEL,20170601,700,1,Classic
471,20170515,BLR,DEL,20170601,1745,1,Saver
472,20170529,DEL,BLR,20170601,1625,1,Classic
473,20170326,BLR,DEL,20170601,920,4,Deal
474,20170328,MAA,DEL,20170601,1030,1,Deal
475,20170507,BLR,BOM,20170601,700,3,Deal
476,20170501,CCU,BOM,20170601,620,1,Saver
477,20170424,CCU,BOM,20170601,925,3,Saver
478,20170502,CCU,BOM,20170601,1405,2,Saver
479,20170509,BOM,MAA,20170601,1055,1,Saver
480,20170530,BOM,DEL,20170601,1915,1,Classic
481,20170530,BOM,DEL,20170601,830,1,Saver
482,20170528,DEL,BOM,20170601,1500,1,Classic
483,20170522,BOM,MAA,20170601,705,1,Saver
484,20170529,DEL,BLR,20170601,1625,1,Classic
485,20170529,MAA,BOM,20170601,1920,1,Classic
486,20170509,CCU,BOM,20170601,145,1,Deal
487,20170516,HYD,BOM,20170601,1940,1,Saver
488,20170530,BOM,DEL,20170601,1700,1,Classic
489,20170530,BLR,BOM,20170601,1615,1,Classic
490,20170530,BOM,DEL,20170601,900,1,Classic
491,20170530,DEL,BOM,20170601,1135,1,Classic
492,20170530,DEL,BLR,20170601,705,1,Classic
493,20170530,DEL,BOM,20170601,1135,1,Classic
494,20170530,DEL,BOM,20170601,945,2,Flex
495,20170325,CCU,BOM,20170601,1145,3,Saver
496,20170401,DEL,MAA,20170601,2055,6,Deal
497,20170419,CCU,BOM,20170601,145,3,Deal
498,20170510,BLR,BOM,20170601,1615,2,Deal
499,20170531,BOM,DEL,20170601,800,1,Classic
500,20170531,DEL,BOM,20170601,945,2,Flex
501,20170531,BOM,BLR,20170601,1550,1,Saver
502,20170518,BLR,DEL,20170601,1105,4,Saver
503,20170525,DEL,BOM,20170601,1745,1,Classic
504,20170601,CCU,BOM,20170601,1610,1,Deal
505,20170519,BOM,MAA,20170601,1055,1,Saver
506,20170526,HYD,BOM,20170601,720,1,Classic
507,20170513,GOI,BOM,20170601,705,3,Deal
508,20170531,CCU,BOM,20170601,925,1,Flex
509,20170531,BLR,DEL,20170601,750,1,Classic
510,20170504,HYD,BOM,20170601,1505,1,Deal
511,20170511,BLR,BOM,20170601,2150,1,Deal
512,20170525,BLR,BOM,20170601,700,1,Saver
513,20170601,BOM,CCU,20170601,1750,1,Saver
514,20170601,BOM,CCU,20170601,1750,1,Saver
515,20170525,BOM,DEL,20170601,900,1,Saver
516,20170512,BOM,MAA,20170601,1915,1,Saver
517,20170512,DEL,CCU,20170601,230,2,Classic
518,20170526,BLR,DEL,20170601,1745,1,Classic
519,20170510,BOM,CCU,20170601,705,1,Deal
520,20170531,BOM,CCU,20170601,2035,1,Saver
521,20170531,BOM,DEL,20170601,1915,1,Classic
522,20170531,BOM,MAA,20170601,1915,1,Flex
